date,1. open,2. high,3. low,4. close,5. volume,5. MACDLine,6. MACDSignal,7. MACDHist,8. RSI,9. SMA
2000-06-30,52.81,54.94,51.69,52.38,5769600.0,-10.135238146499134,-6.503041279777165,-3.6321968667219693,32.62386579137339,79.73960000000002
2000-07-03,52.13,54.31,52.13,53.31,1264800.0,-10.206617228617894,-7.2437564695453105,-2.9628607590725835,33.74067714599306,78.41720000000004
2000-07-05,53.25,55.19,50.75,51.63,4736000.0,-10.280243378669695,-7.851053851370187,-2.429189527299508,32.6866420886992,76.98000000000003
2000-07-06,52.5,52.94,49.63,51.81,5527600.0,-10.206414939209779,-8.322126068938106,-1.8842888702716731,32.928403960379796,75.69240000000003
2000-07-07,52.59,54.81,52.13,54.44,4707200.0,-9.822459154000896,-8.622192685950663,-1.2002664680502324,36.51611906219668,74.30520000000004
2000-07-10,54.09,58.25,53.75,57.13,7103500.0,-9.195115343321575,-8.736777217424846,-0.45833812589672895,40.048446570057074,72.88800000000005
2000-07-11,57.0,59.25,55.44,56.94,6391000.0,-8.613975715657482,-8.712216917071373,0.09824120141389159,39.87966113843352,71.51320000000005
2000-07-12,58.13,58.94,56.38,58.88,4025600.0,-7.905744090386079,-8.550922351734314,0.6451782613482351,42.542405864961076,70.15360000000005
2000-07-13,58.5,60.63,54.75,56.5,7958200.0,-7.450625363003802,-8.330862953988213,0.8802375909844109,40.19064581394994,68.55120000000007
2000-07-14,57.13,59.0,56.88,57.69,3397800.0,-6.914214675020489,-8.047533298194669,1.1333186231741799,41.91949084036555,67.06640000000007
2000-07-17,58.25,58.81,57.13,58.31,4642900.0,-6.365696732298289,-7.711165985015393,1.3454692527171037,42.84644784550336,65.56880000000007
2000-07-18,58.5,58.88,56.88,57.25,5685800.0,-5.947961059427072,-7.358524999897729,1.4105639404706567,41.623339426373896,64.21120000000006
2000-07-19,55.19,56.81,51.75,52.69,8176300.0,-5.9166529275829305,-7.07015058543477,1.1534976578518394,36.761634402989095,62.538800000000066
2000-07-20,55.0,57.06,54.13,55.13,8313800.0,-5.630053645624322,-6.782131197472681,1.1520775518483584,40.74961062633864,61.12640000000007
2000-07-21,54.36,55.63,52.94,53.56,3504200.0,-5.466592058384677,-6.51902336965508,1.0524313112704027,39.04346993565976,59.57400000000007
2000-07-24,52.56,52.88,47.5,48.69,7360200.0,-5.66471654634924,-6.348162004993912,0.6834454586446723,34.252749693763846,57.874000000000066
2000-07-25,50.31,50.63,49.06,50.06,3778700.0,-5.646099361177896,-6.20774947623071,0.5616501150528137,36.60918241671604,56.01160000000007
2000-07-26,49.84,51.25,49.25,50.06,3758400.0,-5.567170234776661,-6.0796336279399,0.5124633931632392,36.60918241671604,53.96400000000007
